data,campeonatoAno,ginasio,fase,timeCasa,pontosTimeCasa,acertos3PtsTimeCasa,acertos2PtsTimeCasa,LanceLivreTimeCasa,rebotesTimeCasa,assistsTimeCasa,RoubadasTimeCasa,TocosTimeCasa,FaltasTimeCasa,timeFora,pontosTimeFora,acertos3PtsTimeFora,acertos2PtsTimeFora,LanceLivreTimeFora,rebotesTimeFora,assistsTimeFora,RoubadasTimeFora,TocosTimeFora,FaltasTimeFora
19/03/2015,2014/2015,Ginásio Paulo Sarasate                                    ,2º TURNO,Basq. Cearense,63,7,19,4,30,7,11,2,17,Flamengo,89,12,20,13,46,19,9,3,15
18/03/2015,2014/2015,Ginásio Vô Lucato                                    ,2º TURNO,Palmeiras,96,10,23,20,39,21,15,1,22,Franca,90,14,13,22,34,16,17,1,25
18/03/2015,2014/2015,Ginásio Vô Lucato                                    ,2º TURNO,Limeira,66,7,13,19,28,9,12,4,22,Minas,62,4,18,14,36,13,6,0,22
18/03/2015,2014/2015,Gin. Felipe Karam                                    ,2º TURNO,Rio Claro,91,15,10,26,22,18,12,3,26,Uberlândia,100,11,22,23,22,17,10,1,25
17/03/2015,2014/2015,Ginásio Paulo Sarasate                                    ,2º TURNO,Basq. Cearense,76,9,19,11,27,18,15,4,17,Macaé,82,3,31,11,35,15,9,1,21
17/03/2015,2014/2015,Prof. Hugo Ramos                                    ,2º TURNO,Mogi,89,7,18,32,34,16,9,3,31,L. Sorocabana,82,5,18,31,32,11,3,2,32
17/06/2017,2016/2017,Ginásio Gigantão                                    ,FINAL,Bauru,92,0,0,0,0,0,0,0,0,Paulistano,73,0,0,0,0,0,0,0,0
17/03/2015,2014/2015,Gin. Linneu de Moura                                    ,2º TURNO,São José,77,7,25,6,43,15,3,1,23,Paulistano,88,5,31,11,43,14,6,3,16
13/03/2015,2014/2015,Gin. Linneu de Moura                                    ,2º TURNO,São José,79,8,19,17,34,18,5,0,25,Mogi,89,7,21,26,42,13,11,1,24
13/03/2015,2014/2015,Ginásio Paulo Sarasate                                    ,2º TURNO,Basq. Cearense,96,9,30,9,36,15,12,3,20,Brasília,84,11,17,17,30,17,9,1,16
13/03/2015,2014/2015,Ginásio Gualberto Moreira                                    ,2º TURNO,L. Sorocabana,78,8,20,14,45,13,7,3,25,Paulistano,76,6,20,18,34,12,8,0,21
13/03/2015,2014/2015,Ginásio Vô Lucato                                    ,2º TURNO,Limeira,95,9,24,20,31,22,13,4,16,Rio Claro,90,6,32,8,36,16,10,1,21
13/03/2015,2014/2015,Ginásio Homero Santos                                    ,2º TURNO,Uberlândia,56,3,17,13,37,10,10,0,23,Minas,75,6,19,19,39,19,11,1,18
02/03/2015,2014/2015,Ginásio Gualberto Moreira                                    ,2º TURNO,L. Sorocabana,71,6,17,19,27,8,4,2,24,Bauru,110,10,27,26,28,18,11,2,18
13/03/2015,2014/2015,Ginásio Gualberto Moreira                                    ,2º TURNO,Palmeiras,67,6,19,11,36,15,15,0,19,Pinheiros,74,8,20,10,42,14,12,3,20
28/02/2015,2014/2015,Gin. Panela de Pressão                                    ,2º TURNO,Bauru,89,13,16,18,36,18,14,1,11,Minas,71,7,21,8,33,23,14,3,21
27/02/2015,2014/2015,Ginásio Vô Lucato                                    ,2º TURNO,Limeira,89,10,19,21,28,23,9,3,20,Basq. Cearense,84,9,19,19,36,14,6,2,19
04/06/2017,2016/2017,Ginásio Gigantão                                    ,FINAL,Bauru,90,0,0,0,0,0,0,0,0,Paulistano,79,0,0,0,0,0,0,0,0
27/05/2017,2016/2017,Gin. Antonio Prado Jr                                    ,FINAL,Paulistano,82,0,0,0,0,0,0,0,0,Bauru,78,0,0,0,0,0,0,0,0
02/06/2017,2016/2017,Gin. Panela de Pressão                                    ,FINAL,Bauru,74,0,0,0,0,0,0,0,0,Paulistano,78,0,0,0,0,0,0,0,0
27/02/2015,2014/2015,Gin. Felipe Karam                                    ,2º TURNO,Rio Claro,89,9,23,16,32,23,13,1,20,Brasília,98,12,22,18,25,18,4,1,16
26/02/2015,2014/2015,Gin. Panela de Pressão                                    ,2º TURNO,Bauru,87,12,20,11,36,25,14,5,13,Uberlândia,64,2,21,16,33,14,12,3,17
