campeonatoAno,fase,timeCasa,pontosTimeCasa,acertos2PtsTimeCasa,acertos3PtsTimeCasa,acertosTotaisTimeCasa,LancesLivresCertosTimeCasa,rebotesDefensivosTimeCasa,rebotesOfensivosTimeCasa,rebotesTotaisTimeCasa,assistsTimeCasa,RoubadasTimeCasa,ErrosTimeCasa,TocosTimeCasa,FaltasTimeCasa,EficienciaTimeCasa,Arremessos2PtsTimeCasa,Arremessos3PtsTimeCasa,ArremessosLLTimeCasa,ArremessosTotaisTimeCasa,timeFora,pontosTimeFora,acertos2PtsTimeFora,acertos3PtsTimeFora,acertosTotaisTimeFora,LancesLivresCertosTimeFora,rebotesDefensivosTimeFora,rebotesOfensivosTimeFora,rebotesTotaisTimeFora,assistsTimeFora,RoubadasTimeFora,ErrosTimeFora,TocosTimeFora,FaltasTimeFora,EficienciaTimeFora,Arremessos2PtsTimeFora,Arremessos3PtsTimeFora,ArremessosLLTimeFora,ArremessosTotaisTimeFora
2021/2022,2º TURNO,Pinheiros,69,13,12,25,7,20,10,30,19,15,13,3,16,71,38,36,10,74,Mogi,90,20,13,33,11,39,13,52,27,10,23,3,15,122,34,33,14,67
2021/2022,2º TURNO,Cerrado Basquete,86,25,7,32,15,38,14,52,19,5,11,6,20,101,55,26,22,81,BRB/Brasília,90,21,11,32,15,37,16,53,14,7,10,3,21,99,47,35,23,82
2021/2022,2º TURNO,Pato Basquete,59,15,6,21,11,30,8,38,10,6,18,0,19,52,32,26,17,58,Caxias do Sul Basquete,68,19,7,26,9,30,8,38,13,4,16,1,19,66,34,27,16,61
2021/2022,2º TURNO,Sesi Franca,90,29,8,37,8,35,11,46,22,7,15,2,17,114,44,24,15,68,Fortaleza B. C.,66,21,5,26,9,23,9,32,14,9,17,1,17,56,39,27,18,66
2021/2022,2º TURNO,Mogi,86,23,10,33,10,36,9,45,27,8,26,5,15,118,37,20,13,57,Caxias do Sul Basquete,65,19,7,26,6,16,8,24,15,11,14,2,18,53,34,36,12,70
2021/2022,2º TURNO,Rio Claro,82,20,9,29,15,27,11,38,14,8,12,5,23,95,37,29,18,66,Fortaleza B. C.,66,19,6,25,10,26,10,36,18,7,15,6,21,75,32,28,18,60
2021/2022,2º TURNO,Sesi Franca,74,16,9,25,15,30,5,35,19,3,9,3,16,89,26,31,19,57,UNIFACISA,65,9,13,22,8,29,15,44,11,3,11,0,18,61,29,37,15,66
2021/2022,2º TURNO,Pato Basquete,90,26,5,31,23,30,5,35,13,12,13,0,17,92,44,26,29,70,Luvix/União Corinthians,89,17,15,32,10,36,5,41,16,7,23,2,25,94,32,34,14,66
2021/2022,2º TURNO,BRB/Brasília,60,19,5,24,7,27,6,33,9,5,10,2,15,54,44,23,9,67,Paulistano,78,21,8,29,12,37,12,49,14,7,12,1,13,97,43,22,16,65
2021/2022,2º TURNO,Corinthians,79,19,11,30,8,25,13,38,15,0,14,3,21,80,34,34,11,68,Pinheiros,83,24,9,33,8,25,13,38,20,7,13,0,13,95,46,21,14,67
2021/2022,2º TURNO,Mogi,85,22,13,35,2,33,7,40,25,7,13,3,14,105,42,29,8,71,Luvix/União Corinthians,75,21,7,28,12,28,14,42,20,8,10,5,19,93,44,29,14,73
2021/2022,2º TURNO,Pinheiros,82,24,8,32,10,32,18,50,23,6,14,6,18,105,52,25,13,77,Pato Basquete,69,14,11,25,8,26,16,42,12,3,17,3,14,64,35,38,8,73
2021/2022,2º TURNO,Cerrado Basquete,76,17,7,24,21,32,14,46,11,3,14,3,22,78,43,21,28,64,Paulistano,80,25,4,29,18,29,12,41,13,9,5,2,22,93,45,25,24,70
2021/2022,2º TURNO,Flamengo,88,11,15,26,21,25,13,38,11,5,10,0,20,88,25,41,25,66,São Paulo,78,17,10,27,14,28,6,34,13,3,16,1,23,78,28,29,19,57
2021/2022,2º TURNO,123 Minas,61,15,8,23,7,24,12,36,12,4,15,2,17,58,38,26,8,64,São Paulo,82,25,8,33,8,28,10,38,25,6,8,5,14,111,36,28,14,64
2021/2022,2º TURNO,Fortaleza B. C.,91,23,11,34,12,26,10,36,14,5,12,2,22,99,36,29,18,65,Flamengo,94,21,11,32,19,23,18,41,16,6,8,3,19,107,37,37,22,74
2021/2022,2º TURNO,BRB/Brasília,96,14,17,31,17,32,7,39,14,4,8,2,21,107,26,39,23,65,Sesi Franca,86,23,8,31,16,27,9,36,17,4,6,2,23,96,45,26,19,71
2021/2022,2º TURNO,São Paulo,88,23,10,33,12,26,19,45,24,6,8,2,14,115,43,29,15,72,Corinthians,67,20,7,27,6,22,9,31,17,3,12,0,17,69,38,26,6,64
2021/2022,2º TURNO,Bauru,84,24,8,32,12,27,11,38,12,7,17,1,21,85,44,25,15,69,Pato Basquete,74,19,7,26,15,25,10,35,9,5,21,2,21,64,34,28,19,62
2021/2022,2º TURNO,Luvix/União Corinthians,84,23,5,28,23,26,14,40,13,8,10,2,19,89,45,19,35,64,Caxias do Sul Basquete,70,16,9,25,11,28,3,31,9,7,15,0,28,68,33,20,17,53
2021/2022,2º TURNO,Cerrado Basquete,73,21,6,27,13,29,12,41,16,1,9,5,21,82,40,23,22,63,Rio Claro,79,18,7,25,22,28,17,45,15,4,6,2,23,91,41,26,28,67
2021/2022,2º TURNO,UNIFACISA,74,21,7,28,11,36,12,48,13,9,17,1,18,88,39,23,17,62,Flamengo,60,8,11,19,11,23,10,33,9,9,17,0,21,42,17,46,19,63
2021/2022,2º TURNO,Fortaleza B. C.,75,20,7,27,14,21,6,27,7,6,7,0,25,63,32,35,19,67,123 Minas,85,16,10,26,23,33,11,44,15,4,17,2,21,98,27,28,29,55
2021/2022,2º TURNO,BRB/Brasília,79,22,9,31,8,27,12,39,13,7,10,0,20,85,38,32,12,70,Rio Claro,80,15,9,24,23,28,10,38,9,8,13,2,19,86,36,24,25,60
2021/2022,2º TURNO,Cerrado Basquete,88,18,13,31,13,30,8,38,17,6,11,2,20,102,34,32,16,66,Sesi Franca,89,23,10,33,13,28,13,41,16,6,11,4,14,100,43,31,17,74
2021/2022,2º TURNO,UNIFACISA,70,23,6,29,6,24,9,33,15,9,12,1,17,81,37,25,8,62,123 Minas,59,17,6,23,7,25,11,36,10,7,16,0,16,57,30,27,12,57
2021/2022,2º TURNO,Paulistano,93,24,14,38,3,25,16,41,21,6,11,1,20,110,43,31,8,74,Pinheiros,82,16,10,26,20,21,9,30,19,6,13,0,12,88,34,24,24,58
2021/2022,2º TURNO,Bauru,107,19,17,36,18,34,7,41,21,13,12,2,24,128,40,39,19,79,Mogi,103,18,15,33,22,37,9,46,23,5,20,3,21,117,33,41,24,74
2021/2022,2º TURNO,Pato Basquete,62,19,2,21,18,29,11,40,9,6,17,1,17,59,35,24,22,59,São Paulo,82,24,7,31,13,28,4,32,8,7,10,1,18,87,36,28,13,64
2021/2022,2º TURNO,Flamengo,117,24,17,41,18,46,13,59,34,5,7,2,13,168,37,42,22,79,Luvix/União Corinthians,55,11,9,20,6,26,9,35,15,4,11,2,21,43,43,32,8,75
2021/2022,2º TURNO,Flamengo,76,15,13,28,7,26,11,37,14,4,12,6,16,88,26,36,10,62,Corinthians,71,18,10,28,5,22,6,28,19,2,13,1,18,73,32,26,10,58
2021/2022,2º TURNO,Flamengo,73,7,16,23,11,27,16,43,18,7,13,5,14,90,22,44,11,66,Paulistano,70,22,8,30,2,26,11,37,14,10,9,4,18,85,45,25,3,70
2021/2022,2º TURNO,Mogi,73,18,10,28,7,27,10,37,16,4,20,3,20,74,33,30,11,63,São Paulo,90,17,15,32,11,27,4,31,17,11,12,2,19,103,27,33,19,60
2021/2022,2º TURNO,Paulistano,87,27,6,33,15,27,10,37,22,6,10,2,17,109,39,24,20,63,Sesi Franca,77,25,6,31,9,22,13,35,16,7,9,1,17,84,49,23,11,72
2021/2022,2º TURNO,Luvix/União Corinthians,83,18,12,30,11,27,11,38,17,9,11,3,23,90,34,34,22,68,Pinheiros,87,20,10,30,17,32,9,41,13,4,15,1,21,95,38,25,20,63
2021/2022,2º TURNO,Caxias do Sul Basquete,60,15,8,23,6,29,9,38,15,3,10,2,19,67,30,31,9,61,Bauru,66,16,8,24,10,31,9,40,10,7,12,1,16,74,31,26,15,57
2021/2022,2º TURNO,Luvix/União Corinthians,77,21,8,29,11,31,12,43,13,5,11,1,18,83,37,31,17,68,Bauru,82,12,15,27,13,27,10,37,11,6,8,0,20,84,25,42,17,67
2021/2022,2º TURNO,Corinthians,69,17,8,25,11,30,12,42,14,5,19,2,18,73,36,23,17,59,UNIFACISA,70,17,7,24,15,25,8,33,17,12,10,2,18,83,35,25,20,60
2021/2022,2º TURNO,Paulistano,83,14,15,29,10,29,13,42,18,7,15,0,15,95,34,30,15,64,UNIFACISA,64,14,9,23,9,23,10,33,12,7,16,2,20,62,33,29,10,62
2021/2022,2º TURNO,Corinthians,81,15,13,28,12,35,13,48,18,7,20,7,18,101,28,34,18,62,Fortaleza B. C.,65,23,5,28,4,23,10,33,17,9,11,4,17,64,46,22,17,68
2021/2022,2º TURNO,Caxias do Sul Basquete,80,13,14,27,12,21,9,30,17,7,17,1,22,81,29,29,18,58,Pinheiros,87,25,6,31,19,23,8,31,17,9,15,5,18,101,39,17,27,56
2021/2022,2º TURNO,Pato Basquete,79,19,10,29,11,29,9,38,16,11,9,1,21,86,34,36,20,70,Mogi,70,14,11,25,9,33,9,42,18,4,19,1,19,75,30,31,14,61
2021/2022,2º TURNO,123 Minas,95,22,13,35,12,23,4,27,26,3,13,2,16,115,28,28,16,56,BRB/Brasília,82,23,9,32,9,19,15,34,13,8,12,1,16,83,41,27,16,68
2021/2022,2º TURNO,Rio Claro,78,19,9,28,13,27,8,35,19,5,13,1,18,85,36,30,15,66,Sesi Franca,102,30,9,39,15,32,5,37,20,8,6,0,21,127,41,26,21,67
2021/2022,2º TURNO,Paulistano,94,18,14,32,16,21,9,30,18,6,13,6,28,101,36,33,19,69,Fortaleza B. C.,88,25,7,32,17,28,19,47,22,5,20,2,20,99,49,21,24,70
2021/2022,2º TURNO,Sesi Franca,90,16,13,29,19,27,14,41,13,6,6,0,20,97,33,36,26,69,Flamengo,85,18,14,32,7,28,6,34,15,2,10,4,25,95,26,37,11,63
2021/2022,2º TURNO,123 Minas,74,27,2,29,14,32,12,44,12,5,14,2,19,87,45,19,15,64,Cerrado Basquete,66,17,6,23,14,22,13,35,16,8,9,4,16,71,32,31,23,63
2021/2022,2º TURNO,BRB/Brasília,89,19,8,27,27,24,5,29,16,5,16,1,30,92,30,18,38,48,Corinthians,91,15,11,26,28,22,11,33,13,7,12,2,30,93,33,23,39,56
2021/2022,2º TURNO,São Paulo,80,17,9,26,19,29,11,40,15,8,13,1,19,91,31,30,24,61,Paulistano,71,17,8,25,13,23,11,34,10,7,13,3,23,67,41,24,18,65
2021/2022,2º TURNO,Rio Claro,79,20,8,28,15,21,10,31,10,3,8,0,17,76,46,18,18,64,Flamengo,99,15,19,34,12,27,14,41,18,4,9,4,17,120,24,43,16,67
2021/2022,2º TURNO,Cerrado Basquete,86,23,12,35,4,30,8,38,19,3,6,2,15,105,38,30,8,68,Corinthians,80,15,15,30,5,29,14,43,18,4,8,4,16,96,37,36,7,73
2021/2022,2º TURNO,Pinheiros,60,22,2,24,10,30,21,51,13,2,12,2,13,60,42,31,17,73,Bauru,65,15,9,24,8,30,6,36,14,5,11,1,15,74,29,31,8,60
2021/2022,2º TURNO,Rio Claro,75,20,10,30,5,18,13,31,16,7,10,0,19,79,32,31,12,63,123 Minas,78,11,12,23,20,23,8,31,16,3,14,1,17,86,20,30,22,50
2021/2022,2º TURNO,Fortaleza B. C.,82,22,9,31,11,22,9,31,13,16,9,4,18,93,45,25,16,70,Mogi,75,20,8,28,11,30,9,39,20,4,22,4,18,85,35,22,17,57
2021/2022,2º TURNO,São Paulo,98,21,10,31,26,40,10,50,22,6,9,5,19,131,29,33,36,62,Luvix/União Corinthians,71,22,5,27,12,24,10,34,19,7,8,2,23,72,43,32,17,75
2021/2022,2º TURNO,UNIFACISA,87,17,14,31,11,28,5,33,19,9,13,5,20,109,25,35,13,60,Pato Basquete,78,19,10,29,10,25,11,36,16,9,14,0,17,84,39,26,15,65
2021/2022,2º TURNO,Paulistano,53,11,7,18,10,29,13,42,10,3,21,2,14,46,27,30,14,57,Bauru,65,15,10,25,5,25,5,30,15,15,15,1,17,74,30,27,10,57
2021/2022,2º TURNO,Sesi Franca,98,20,13,33,19,24,11,35,16,1,12,3,22,109,28,32,24,60,123 Minas,89,21,9,30,20,17,8,25,12,7,8,1,24,91,36,25,24,61
2021/2022,2º TURNO,Fortaleza B. C.,78,18,7,25,21,28,12,40,10,6,16,2,21,76,38,22,30,60,Pato Basquete,84,20,10,30,14,23,9,32,13,9,15,3,28,88,32,31,19,63
2021/2022,2º TURNO,Flamengo,69,19,7,26,10,31,10,41,17,6,8,5,17,80,41,30,15,71,Cerrado Basquete,63,23,2,25,11,35,11,46,12,4,15,2,18,69,45,19,15,64
2021/2022,2º TURNO,UNIFACISA,91,16,16,32,11,27,15,42,19,12,18,4,22,104,45,32,12,77,Mogi,82,20,9,29,15,30,6,36,18,8,19,7,16,96,33,27,20,60
2021/2022,2º TURNO,Luvix/União Corinthians,80,18,11,29,11,28,12,40,13,3,14,4,24,81,37,32,16,69,Fortaleza B. C.,86,19,11,30,15,30,11,41,15,8,11,0,19,93,39,26,26,65
2021/2022,2º TURNO,São Paulo,93,24,9,33,18,35,9,44,24,9,9,2,19,126,40,23,25,63,Caxias do Sul Basquete,53,12,5,17,14,25,12,37,13,7,15,2,20,45,32,28,23,60
2021/2022,2º TURNO,Caxias do Sul Basquete,60,15,7,22,9,23,9,32,14,9,14,1,19,60,37,24,12,61,UNIFACISA,79,20,8,28,15,31,7,38,15,7,17,3,18,93,32,24,19,56
2021/2022,2º TURNO,Paulistano,86,17,8,25,28,18,5,23,12,11,10,2,31,87,33,23,34,56,Rio Claro,78,18,6,24,24,27,14,41,12,4,21,2,26,75,39,13,37,52
2021/2022,2º TURNO,123 Minas,88,18,13,31,13,29,12,41,20,6,14,4,23,107,34,32,16,66,Flamengo,79,12,13,25,16,24,8,32,16,5,14,4,16,83,24,37,19,61
2021/2022,2º TURNO,Mogi,83,20,9,29,16,32,8,40,26,7,14,2,21,102,36,30,21,66,BRB/Brasília,72,18,7,25,15,32,9,41,15,6,15,2,21,78,35,30,18,65
2021/2022,2º TURNO,Pato Basquete,78,13,12,25,16,16,11,27,12,8,9,0,24,71,39,27,20,66,Cerrado Basquete,94,21,8,29,28,32,15,47,11,2,14,1,17,107,33,28,30,61
2021/2022,2º TURNO,Corinthians,65,21,7,28,2,31,11,42,18,1,14,1,15,71,38,31,3,69,Sesi Franca,81,27,7,34,6,28,11,39,19,6,4,0,10,98,44,31,8,75
2021/2022,2º TURNO,Luvix/União Corinthians,70,17,11,28,3,23,9,32,17,5,15,3,22,75,32,30,6,62,UNIFACISA,74,15,11,26,11,26,7,33,8,6,17,2,14,74,25,28,16,53
2021/2022,2º TURNO,Caxias do Sul Basquete,74,23,6,29,10,31,10,41,18,6,17,5,23,89,43,23,11,66,Fortaleza B. C.,66,15,6,21,18,26,14,40,14,8,12,1,17,60,42,21,33,63
2021/2022,2º TURNO,Mogi,87,26,7,33,14,39,10,49,25,7,15,3,19,119,45,22,17,67,Cerrado Basquete,67,17,6,23,15,26,14,40,16,6,10,4,15,67,50,23,21,73
2021/2022,2º TURNO,Bauru,102,20,13,33,23,24,8,32,23,7,10,2,24,125,31,30,26,61,São Paulo,87,15,13,28,18,20,4,24,16,6,10,3,25,93,24,30,25,54
2021/2022,2º TURNO,Corinthians,84,21,9,30,15,34,17,51,15,6,16,3,20,98,46,27,17,73,Rio Claro,78,24,7,31,9,27,9,36,17,8,11,4,21,83,52,22,15,74
2021/2022,2º TURNO,Pato Basquete,77,18,11,29,8,20,7,27,14,6,13,0,23,75,33,29,11,62,BRB/Brasília,75,19,7,26,16,25,13,38,11,7,19,1,17,73,36,20,26,56
2021/2022,2º TURNO,Pinheiros,92,20,15,35,7,26,16,42,19,5,9,2,14,100,45,36,12,81,São Paulo,98,23,13,36,13,31,4,35,26,6,11,5,17,129,39,26,14,65
2021/2022,2º TURNO,123 Minas,104,26,13,39,13,33,10,43,23,6,14,4,16,135,39,29,15,68,Paulistano,67,19,6,25,11,20,9,29,15,8,13,0,19,61,41,26,14,67
2021/2022,2º TURNO,Sesi Franca,92,23,10,33,16,33,8,41,18,5,7,2,13,115,43,25,17,68,Mogi,71,17,11,28,4,27,8,35,15,2,13,3,21,70,35,35,5,70
2021/2022,2º TURNO,Fortaleza B. C.,74,17,9,26,13,31,7,38,12,6,17,2,16,81,30,24,19,54,Bauru,72,16,10,26,10,21,7,28,16,6,10,2,18,75,38,27,10,65
2021/2022,2º TURNO,123 Minas,91,25,10,35,11,24,14,38,20,7,11,5,17,109,41,29,17,70,Corinthians,88,21,11,32,13,23,18,41,18,1,14,1,20,93,44,28,15,72
2021/2022,2º TURNO,Sesi Franca,97,21,12,33,19,27,8,35,17,5,16,3,15,116,27,27,23,54,Pato Basquete,80,20,11,31,7,17,9,26,21,11,9,1,19,90,33,36,9,69
2021/2022,2º TURNO,Rio Claro,75,22,5,27,16,28,17,45,14,7,11,2,20,91,43,22,19,65,Mogi,56,15,6,21,8,23,9,32,9,8,15,1,21,50,30,27,13,57
2021/2022,2º TURNO,UNIFACISA,87,18,11,29,18,23,8,31,10,4,8,1,20,88,28,32,24,60,Pinheiros,85,20,10,30,15,23,11,34,16,3,10,2,23,91,34,29,21,63
2021/2022,2º TURNO,Cerrado Basquete,55,18,2,20,13,29,17,46,6,7,10,2,14,47,39,31,22,70,Luvix/União Corinthians,73,15,9,24,16,34,11,45,16,8,13,0,22,87,44,19,19,63
2021/2022,2º TURNO,Fortaleza B. C.,65,14,9,23,10,22,3,25,11,10,14,1,16,58,26,33,14,59,Pinheiros,81,23,10,33,5,35,17,52,17,6,19,1,14,96,39,32,9,71
2021/2022,2º TURNO,UNIFACISA,92,18,15,33,11,35,8,43,17,12,8,1,22,119,30,39,13,69,Bauru,64,17,6,23,12,28,6,34,11,4,17,1,12,53,31,27,21,58
2021/2022,2º TURNO,Rio Claro,79,20,8,28,15,24,6,30,14,8,15,2,22,88,37,19,17,56,Pato Basquete,65,13,10,23,9,23,7,30,10,2,19,1,20,55,30,23,13,53
2020/2021,FINAL,São Paulo,85,22,10,32,11,31,7,38,19,1,10,3,16,100,36,29,14,65,Flamengo,93,19,14,33,13,27,7,34,22,6,3,1,17,115,34,37,13,71
2021/2022,2º TURNO,Cerrado Basquete,79,20,9,29,12,35,17,52,15,5,15,5,16,98,42,26,16,68,Caxias do Sul Basquete,61,22,4,26,5,22,7,29,19,4,10,4,20,63,45,19,11,64
2020/2021,FINAL,São Paulo,81,24,5,29,18,30,8,38,15,4,10,3,15,91,44,19,24,63,Flamengo,82,14,15,29,9,28,12,40,16,4,11,1,25,87,29,41,13,70
2020/2021,SEMI,São Paulo,80,16,12,28,12,26,10,36,18,5,6,1,19,92,32,34,16,66,Minas,79,14,12,26,15,27,4,31,17,2,8,0,21,88,27,29,18,56
2020/2021,FINAL,Flamengo,96,19,16,35,10,26,17,43,19,3,6,3,16,113,29,48,13,77,São Paulo,93,21,13,34,12,27,11,38,18,2,7,2,14,106,40,32,14,72
2020/2021,SEMI,Paulistano,58,18,6,24,4,32,17,49,12,4,6,3,18,62,51,31,4,82,Flamengo,69,21,5,26,12,41,13,54,23,4,9,2,12,95,35,37,14,72
2020/2021,SEMI,Paulistano,75,21,7,28,12,26,10,36,17,8,11,3,25,84,48,21,15,69,Flamengo,81,24,5,29,18,33,9,42,13,6,13,0,20,88,40,24,24,64
2020/2021,SEMI,São Paulo,90,17,13,30,17,25,11,36,14,6,7,4,19,101,31,34,24,65,Minas,85,20,11,31,12,27,6,33,14,3,7,1,25,97,32,31,12,63
2021/2022,2º TURNO,BRB/Brasília,92,26,9,35,13,39,9,48,25,8,18,3,20,126,36,27,17,63,Luvix/União Corinthians,71,15,10,25,11,21,10,31,18,11,14,3,22,67,39,33,17,72
2020/2021,SEMI,Flamengo,92,21,11,32,17,33,12,45,21,6,9,2,24,113,37,29,27,66,Paulistano,69,15,7,22,18,26,13,39,11,4,11,0,25,62,39,26,25,65
2021/2022,2º TURNO,BRB/Brasília,78,18,10,28,12,29,16,45,17,2,11,3,20,89,44,26,15,70,Caxias do Sul Basquete,79,20,8,28,15,26,6,32,22,6,9,5,16,98,43,18,19,61
2021/2022,2º TURNO,Mogi,70,17,8,25,12,24,14,38,21,5,16,2,17,75,35,30,17,65,123 Minas,73,25,4,29,11,29,6,35,15,9,14,1,20,86,36,22,15,58
2021/2022,2º TURNO,São Paulo,73,9,10,19,25,29,13,42,13,6,13,5,17,85,28,26,31,54,Fortaleza B. C.,62,18,6,24,8,24,16,40,9,8,14,4,23,62,42,26,11,68
2021/2022,2º TURNO,Luvix/União Corinthians,89,26,6,32,19,25,21,46,16,3,10,0,26,93,56,19,27,75,Sesi Franca,85,23,5,28,24,23,9,32,6,4,10,5,22,86,34,26,28,60
2021/2022,2º TURNO,Pato Basquete,70,13,10,23,14,23,9,32,7,2,8,1,23,62,32,30,17,62,123 Minas,101,20,16,36,13,33,7,40,16,5,6,1,17,124,34,29,19,63
2021/2022,2º TURNO,São Paulo,88,23,9,32,15,26,4,30,13,10,12,2,17,99,35,23,21,58,UNIFACISA,70,18,8,26,10,26,7,33,15,6,16,1,19,71,36,22,16,58
2020/2021,SEMI,Minas,70,24,3,27,13,23,8,31,17,5,12,1,12,71,38,24,19,62,São Paulo,88,15,18,33,4,29,14,43,18,6,15,5,17,106,25,45,6,70
2021/2022,2º TURNO,Corinthians,81,21,10,31,9,24,14,38,18,5,11,1,14,96,44,19,13,63,Paulistano,71,21,8,29,5,20,9,29,16,4,9,2,16,77,41,21,8,62
2021/2022,2º TURNO,Mogi,77,21,9,30,8,16,16,32,20,12,12,1,21,72,43,39,14,82,Flamengo,117,21,19,40,18,34,8,42,29,7,21,4,15,151,28,34,23,62
2021/2022,2º TURNO,Bauru,74,22,6,28,12,38,8,46,18,3,9,3,12,91,44,21,19,65,Cerrado Basquete,68,22,7,29,3,31,11,42,13,6,6,3,17,77,45,33,3,78
2021/2022,2º TURNO,Caxias do Sul Basquete,68,15,11,26,5,21,9,30,12,7,16,1,22,63,36,25,9,61,Sesi Franca,83,16,12,28,15,26,9,35,20,4,12,1,13,99,28,29,18,57
2021/2022,2º TURNO,Luvix/União Corinthians,84,23,5,28,23,27,17,44,12,2,10,1,28,83,42,20,39,62,Rio Claro,75,15,8,23,21,26,7,33,14,3,14,1,34,74,25,29,28,54
2021/2022,2º TURNO,Pato Basquete,87,15,17,32,6,23,6,29,15,7,11,1,23,92,28,38,8,66,Flamengo,93,20,11,31,20,28,6,34,16,3,12,0,14,104,33,28,20,61
2021/2022,2º TURNO,Pinheiros,88,20,13,33,9,32,15,47,20,15,14,2,14,111,44,32,13,76,Cerrado Basquete,70,15,10,25,10,30,7,37,14,9,18,2,17,73,32,31,13,63
2021/2022,2º TURNO,Bauru,96,22,15,37,7,21,17,38,22,6,10,2,25,114,36,38,10,74,BRB/Brasília,74,19,4,23,24,22,12,34,16,6,16,2,14,75,32,20,36,52
2020/2021,QUARTAS,Paulistano,77,18,10,28,11,22,14,36,14,4,7,1,19,79,35,32,18,67,Bauru,87,23,10,33,11,30,5,35,22,6,8,3,18,118,36,24,11,60
2021/2022,2º TURNO,Pinheiros,107,18,16,34,23,27,15,42,19,15,18,4,25,119,40,38,29,78,BRB/Brasília,95,26,9,35,16,29,19,48,17,10,25,2,28,95,47,29,27,76
2021/2022,2º TURNO,Caxias do Sul Basquete,85,18,9,27,22,26,7,33,16,3,10,5,19,94,32,25,30,57,Rio Claro,77,16,9,25,18,26,9,35,15,5,15,0,26,79,35,27,19,62
2020/2021,QUARTAS,Minas,93,15,16,31,15,33,8,41,20,4,16,0,23,116,21,33,18,54,Sesi Franca,68,23,4,27,10,16,9,25,19,8,9,1,21,66,43,23,17,66
2020/2021,QUARTAS,São Paulo,79,19,9,28,14,34,15,49,14,8,12,4,14,101,38,30,15,68,Corinthians,68,16,11,27,3,24,8,32,15,2,10,1,18,66,35,33,4,68
2020/2021,QUARTAS,Paulistano,78,19,8,27,16,28,8,36,17,7,4,2,18,93,46,22,18,68,Bauru,65,18,5,23,14,31,11,42,11,2,12,0,20,68,37,25,15,62
2021/2022,2º TURNO,Sesi Franca,104,17,19,36,13,28,10,38,20,3,8,2,16,128,23,39,18,62,Bauru,88,16,14,30,14,16,13,29,14,3,5,0,19,87,31,37,18,68
2020/2021,QUARTAS,Minas,72,14,11,25,11,29,14,43,15,4,21,5,21,77,29,31,17,60,Sesi Franca,82,17,13,30,9,24,9,33,23,11,10,2,18,100,38,28,14,66
2020/2021,QUARTAS,Flamengo,77,19,11,30,6,32,6,38,17,9,14,1,11,90,37,29,8,66,Mogi,67,20,7,27,6,32,14,46,14,8,17,4,19,76,43,29,7,72
2020/2021,QUARTAS,Sesi Franca,85,19,10,29,17,22,11,33,20,11,15,2,23,94,36,28,24,64,Minas,91,22,11,33,14,27,6,33,20,10,18,2,21,103,41,18,23,59
2020/2021,QUARTAS,Corinthians,71,17,10,27,7,22,13,35,14,8,12,1,21,68,38,35,10,73,São Paulo,78,17,9,26,17,32,13,45,17,7,18,2,14,92,30,30,22,60
2020/2021,QUARTAS,Bauru,66,15,7,22,15,27,8,35,15,4,15,0,18,70,32,21,19,53,Paulistano,78,18,12,30,6,25,13,38,14,8,8,2,19,89,36,28,15,64
2021/2022,2º TURNO,123 Minas,97,19,16,35,11,33,7,40,19,7,20,6,20,110,32,31,22,63,Luvix/União Corinthians,82,20,8,28,18,25,8,33,17,13,13,5,20,90,44,26,23,70
2021/2022,2º TURNO,Paulistano,69,20,6,26,11,28,11,39,12,10,16,4,19,75,39,24,17,63,Mogi,62,18,6,24,8,29,7,36,18,5,21,0,19,61,33,24,14,57
2021/2022,2º TURNO,Cerrado Basquete,86,22,11,33,9,18,14,32,19,4,11,2,19,92,37,35,10,72,São Paulo,84,17,13,30,11,24,13,37,17,3,16,3,16,91,28,33,17,61
2021/2022,2º TURNO,Corinthians,58,14,7,21,9,33,7,40,16,6,11,3,18,63,32,31,16,63,Pato Basquete,60,15,8,23,6,36,14,50,13,7,12,2,16,72,40,29,8,69
2021/2022,2º TURNO,Sesi Franca,95,18,15,33,14,25,15,40,20,10,19,4,13,112,30,39,16,69,Pinheiros,80,22,7,29,15,23,5,28,18,13,17,3,10,91,38,23,17,61
2021/2022,2º TURNO,123 Minas,83,24,9,33,8,35,11,46,19,10,14,3,13,111,39,27,11,66,Caxias do Sul Basquete,62,21,4,25,8,22,9,31,17,6,13,4,19,62,46,20,12,66
2021/2022,2º TURNO,Rio Claro,76,27,3,30,13,20,20,40,7,7,16,2,24,70,45,26,18,71,Bauru,84,15,12,27,18,22,4,26,16,10,16,0,22,92,27,21,25,48
2021/2022,2º TURNO,UNIFACISA,95,12,20,32,11,31,7,38,21,4,11,3,20,113,27,38,15,65,Fortaleza B. C.,68,19,8,27,6,28,7,35,14,3,11,3,18,71,38,24,12,62
2020/2021,OITAVAS,Mogi,94,23,8,31,24,34,7,41,24,6,12,2,20,122,36,24,28,60,UNIFACISA,85,12,16,28,13,23,18,41,17,7,9,0,27,86,41,38,17,79
2021/2022,2º TURNO,Flamengo,90,18,16,34,6,39,13,52,30,10,16,1,9,125,34,38,10,72,Caxias do Sul Basquete,55,14,8,22,3,27,3,30,11,7,15,2,19,46,38,27,4,65
2020/2021,OITAVAS,Sesi Franca,82,24,6,30,16,41,12,53,19,6,11,1,20,104,39,29,24,68,Fortaleza B. C.,58,9,8,17,16,29,8,37,6,5,11,0,25,40,30,35,23,65
