campeonatoAno,fase,timeCasa,pontosTimeCasa,acertos3PtsTimeCasa,acertos2PtsTimeCasa,acertosTotaisTimeCasa,LanceLivreTimeCasa,rebotesTimeCasa,assistsTimeCasa,RoubadasTimeCasa,TocosTimeCasa,FaltasTimeCasa,EficienciaTimeCasa,Arremessos2PtsTimeCasa,Arremessos3PtsTimeCasa,ArremessosLLTimeCasa,timeFora,pontosTimeFora,acertos3PtsTimeFora,acertos2PtsTimeFora,acertosTotaisTimeFora,LanceLivreTimeFora,rebotesTimeFora,assistsTimeFora,RoubadasTimeFora,TocosTimeFora,FaltasTimeFora,EficienciaTimeFora,Arremessos2PtsTimeFora,Arremessos3PtsTimeFora,ArremessosLLTimeFora
2020/2021,1º TURNO,KTO/Caxias do Sul,65,6,19,25,9,25,8,6,1,16,52,38,21,14,UNIFACISA,90,11,25,36,7,40,15,8,0,18,107,38,26,11
2020/2021,1º TURNO,Minas,97,12,22,34,17,47,22,7,3,20,123,39,34,20,Cerrado Basquete,77,8,20,28,13,28,13,6,1,16,75,36,24,21
2020/2021,1º TURNO,Fortaleza B. C.,71,9,14,23,16,40,15,7,5,23,77,39,24,20,BRB/Brasília,63,7,16,23,10,43,12,6,5,18,63,31,31,18
2020/2021,1º TURNO,Bauru,82,12,15,27,16,37,18,11,0,20,98,33,26,23,Corinthians,67,7,16,23,14,34,15,8,2,20,70,36,25,18
2020/2021,1º TURNO,Flamengo,93,18,13,31,13,54,19,7,1,18,116,28,50,17,Sesi Franca,62,2,23,25,10,41,16,4,2,19,63,53,18,15
2020/2021,1º TURNO,VipTech CMB,79,10,18,28,13,42,19,10,0,21,94,37,25,21,Pinheiros,66,7,16,23,13,38,16,7,2,22,62,41,21,25
2020/2021,1º TURNO,Pato Basquete,71,4,25,29,9,35,9,6,0,19,69,44,17,15,São Paulo,80,10,20,30,10,38,10,10,6,16,92,38,29,13
2020/2021,1º TURNO,Cerrado Basquete,73,7,18,25,16,49,12,5,2,23,84,35,28,22,Fortaleza B. C.,75,6,21,27,15,38,7,7,3,23,75,48,19,24
2020/2021,1º TURNO,Cerrado Basquete,67,6,19,25,11,44,14,5,3,23,71,42,25,15,UNIFACISA,75,8,18,26,15,43,19,7,3,20,88,42,24,20
2020/2021,1º TURNO,Paulistano,69,7,19,26,10,46,20,9,1,22,87,40,26,16,Mogi,62,8,11,19,16,40,17,7,0,21,67,26,29,24
