campeonatoAno,fase,timeCasa,pontosTimeCasa,acertos3PtsTimeCasa,acertos2PtsTimeCasa,acertosTotaisTimeCasa,LanceLivreTimeCasa,rebotesTimeCasa,assistsTimeCasa,RoubadasTimeCasa,TocosTimeCasa,FaltasTimeCasa,EficienciaTimeCasa,Arremessos2PtsTimeCasa,Arremessos3PtsTimeCasa,ArremessosLLTimeCasa,timeFora,pontosTimeFora,acertos3PtsTimeFora,acertos2PtsTimeFora,acertosTotaisTimeFora,LanceLivreTimeFora,rebotesTimeFora,assistsTimeFora,RoubadasTimeFora,TocosTimeFora,FaltasTimeFora,EficienciaTimeFora,Arremessos2PtsTimeFora,Arremessos3PtsTimeFora,ArremessosLLTimeFora
2022/2023,2º TURNO,Flamengo,83,10,22,32,9,34,19,6,0,20,94,34,24,10,Paulistano,70,7,19,26,11,27,9,10,3,16,63,38,21,20
2022/2023,2º TURNO,123 Minas,82,8,22,30,14,35,22,4,1,20,92,34,27,18,Pato Basquete,90,10,25,35,10,38,24,11,2,22,108,43,30,19
2022/2023,2º TURNO,Pinheiros,89,11,16,27,24,38,16,8,4,21,86,32,36,29,Caxias do Sul Basquete,82,9,19,28,17,39,16,12,2,29,81,36,30,20
2022/2023,2º TURNO,Corinthians,75,7,17,24,20,36,15,8,5,20,83,32,28,27,Caxias do Sul Basquete,76,8,18,26,16,35,15,6,2,25,75,36,23,23
2022/2023,2º TURNO,BRB/Brasília,72,9,15,24,15,33,19,8,0,20,76,27,29,20,Sesi Franca,87,11,20,31,14,41,19,12,2,21,103,41,29,21
2022/2023,2º TURNO,Oscar São José Basketball,97,13,19,32,20,46,24,5,7,22,127,37,28,25,São Paulo,84,13,16,29,13,24,19,8,3,20,89,32,30,18
2022/2023,2º TURNO,União Corinthians,82,12,19,31,8,37,17,3,3,24,85,33,34,14,UNIFACISA,85,11,16,27,20,42,14,6,1,23,88,37,32,26
2022/2023,2º TURNO,123 Minas,105,12,26,38,17,37,21,8,0,15,133,38,20,22,Paulistano,70,6,21,27,10,29,14,3,0,25,57,47,22,13
2022/2023,2º TURNO,Sesi Franca,95,8,22,30,27,44,19,4,4,19,111,41,22,34,Oscar São José Basketball,75,8,21,29,9,42,19,8,4,30,80,44,28,20
2022/2023,2º TURNO,Flamengo,79,6,25,31,11,48,17,5,1,20,88,43,34,15,São Paulo,70,6,19,25,14,31,18,6,1,19,76,35,21,17
2022/2023,2º TURNO,Caxias do Sul Basquete,55,7,15,22,4,34,11,12,2,17,55,29,28,12,UNIFACISA,58,7,16,23,5,41,8,6,1,14,58,40,19,6
2022/2023,2º TURNO,BRB/Brasília,74,9,16,25,15,42,19,5,3,22,73,38,32,25,Rio Claro,92,9,25,34,15,46,19,8,0,24,113,43,28,21
2022/2023,2º TURNO,Bauru Basket,82,14,13,27,14,29,21,13,2,16,97,27,33,18,Pinheiros,71,6,22,28,9,39,17,7,2,23,82,37,19,17
2022/2023,2º TURNO,Cerrado,109,18,23,41,9,36,25,8,1,20,132,34,36,14,Rio Claro,84,9,20,29,17,40,17,5,1,18,83,44,30,20
2022/2023,2º TURNO,Flamengo,96,14,23,37,8,40,27,3,1,15,127,39,29,9,Oscar São José Basketball,68,10,17,27,4,30,18,3,2,14,69,39,26,7
2022/2023,2º TURNO,123 Minas,88,11,18,29,19,41,17,5,1,19,99,32,24,29,Corinthians,86,10,22,32,12,29,20,8,3,25,94,36,34,18
2022/2023,2º TURNO,Caxias do Sul Basquete,76,8,19,27,14,24,15,7,0,23,76,35,23,18,Sesi Franca,89,7,25,32,18,42,18,3,2,22,107,38,26,21
2022/2023,2º TURNO,União Corinthians,83,9,23,32,10,30,23,8,1,22,99,37,26,13,Sesi Franca,86,9,22,31,15,48,24,7,0,20,103,38,34,24
2022/2023,2º TURNO,Corinthians,82,12,16,28,14,42,21,5,2,22,89,28,35,24,União Corinthians,78,9,16,25,19,33,17,10,3,26,87,35,26,25
2022/2023,2º TURNO,Fortaleza B. C.,78,8,18,26,18,28,15,9,0,28,77,40,19,27,Pinheiros,92,14,16,30,18,40,22,5,1,22,104,30,26,32
2022/2023,2º TURNO,UNIFACISA,71,9,13,22,18,33,12,1,0,16,68,34,21,22,Bauru Basket,81,12,19,31,7,26,13,8,2,22,92,26,30,10
2022/2023,2º TURNO,Rio Claro,79,7,20,27,18,35,16,8,0,25,81,41,27,24,123 Minas,97,7,28,35,20,51,23,3,2,22,114,42,28,32
2022/2023,2º TURNO,BRB/Brasília,75,15,9,24,12,32,17,7,1,25,69,22,33,22,Flamengo,109,12,27,39,19,36,28,10,5,22,144,42,27,24
2022/2023,2º TURNO,Oscar São José Basketball,71,7,19,26,12,33,20,2,0,26,77,31,30,13,Paulistano,77,8,15,23,23,47,10,11,0,21,84,41,29,28
2022/2023,2º TURNO,Fortaleza B. C.,79,8,20,28,15,41,7,6,0,16,80,39,21,27,Bauru Basket,77,9,19,28,12,30,18,3,1,24,82,31,34,14
2022/2023,2º TURNO,Pato Basquete,66,3,25,28,7,41,12,4,1,16,76,41,21,8,União Corinthians,68,11,13,24,9,28,13,3,1,14,67,26,33,10
2022/2023,2º TURNO,UNIFACISA,69,7,15,22,18,26,16,10,1,19,66,32,20,26,Pinheiros,80,9,21,30,11,42,16,5,2,27,85,44,21,17
2022/2023,2º TURNO,Sesi Franca,94,12,21,33,16,38,22,3,3,15,107,42,25,26,123 Minas,90,12,21,33,12,40,17,7,3,21,106,37,37,13
2022/2023,2º TURNO,Cerrado,70,12,13,25,8,33,9,6,3,17,63,25,38,14,Flamengo,102,12,26,38,14,40,24,8,0,17,131,37,29,21
2022/2023,2º TURNO,123 Minas,87,11,18,29,18,42,22,5,1,23,106,32,26,24,São Paulo,76,8,17,25,18,30,11,4,0,19,63,37,28,24
2022/2023,2º TURNO,União Corinthians,95,10,17,27,31,43,17,11,5,25,111,36,31,38,Rio Claro,83,9,18,27,20,47,14,7,1,32,84,41,34,22
2022/2023,2º TURNO,Paulistano,91,7,30,37,10,42,17,10,1,21,105,53,22,12,Cerrado,77,9,18,27,14,27,19,8,2,14,76,29,25,22
2022/2023,2º TURNO,Bauru Basket,74,12,16,28,6,35,24,4,2,16,95,26,33,7,Pato Basquete,55,4,17,21,9,33,8,6,3,14,52,39,19,12
2022/2023,2º TURNO,Pinheiros,78,3,29,32,11,42,22,14,2,18,105,52,20,14,Corinthians,69,12,8,20,17,37,14,5,2,14,66,25,31,24
2022/2023,2º TURNO,Caxias do Sul Basquete,76,10,19,29,8,41,15,9,5,21,95,33,26,12,Rio Claro,53,3,15,18,14,34,15,6,0,20,47,40,20,18
2022/2023,2º TURNO,São Paulo,88,10,23,33,12,41,19,8,2,18,107,39,27,16,BRB/Brasília,72,10,15,25,12,34,18,2,2,22,70,35,29,16
2022/2023,2º TURNO,Bauru Basket,75,10,17,27,11,31,12,10,1,21,80,41,24,13,Corinthians,63,5,20,25,8,41,10,5,5,21,66,36,21,11
2022/2023,2º TURNO,Paulistano,82,7,21,28,19,45,16,9,3,21,97,47,23,23,União Corinthians,80,9,19,28,15,40,17,6,5,20,92,41,25,21
2022/2023,2º TURNO,São Paulo,70,10,13,23,14,41,22,7,0,17,75,25,34,26,Caxias do Sul Basquete,64,6,19,25,8,42,12,7,1,22,61,38,31,14
2022/2023,2º TURNO,Pinheiros,76,8,19,27,14,44,21,6,0,17,86,45,25,17,Pato Basquete,69,9,16,25,10,33,18,8,4,22,75,31,28,14
2022/2023,2º TURNO,São Paulo,99,14,21,35,15,42,19,4,0,13,115,34,37,17,União Corinthians,76,11,18,29,7,31,16,5,2,13,77,29,37,10
2022/2023,2º TURNO,Cerrado,64,5,21,26,7,32,15,7,1,12,62,35,22,12,Oscar São José Basketball,96,10,29,39,8,40,22,12,2,18,125,49,24,12
2022/2023,2º TURNO,Rio Claro,84,9,21,30,15,29,12,9,0,26,91,37,24,17,Bauru Basket,69,6,14,20,23,29,8,5,1,18,65,17,24,29
2022/2023,2º TURNO,Paulistano,83,13,16,29,12,52,17,8,3,22,102,37,29,17,Caxias do Sul Basquete,58,6,13,19,14,28,10,9,1,19,46,38,17,21
2022/2023,2º TURNO,Pato Basquete,82,6,24,30,16,39,17,5,0,19,94,42,19,18,UNIFACISA,71,11,14,25,10,30,12,6,2,22,67,28,35,13
2022/2023,2º TURNO,BRB/Brasília,94,12,16,28,26,38,15,5,3,28,93,37,27,31,Oscar São José Basketball,100,4,30,34,28,32,18,11,2,23,116,44,19,34
2022/2023,2º TURNO,Corinthians,84,11,16,27,19,51,17,4,4,28,89,31,37,34,Fortaleza B. C.,85,5,25,30,20,40,11,8,1,24,83,44,25,33
2022/2023,2º TURNO,Rio Claro,82,11,17,28,15,27,14,4,0,23,81,32,26,20,Pinheiros,99,10,25,35,19,36,19,6,0,20,112,36,23,33
2022/2023,2º TURNO,Corinthians,66,4,21,25,12,46,15,3,8,23,78,39,19,21,UNIFACISA,68,9,14,23,13,33,16,9,3,24,74,34,23,23
2022/2023,2º TURNO,BRB/Brasília,86,7,25,32,15,43,17,10,3,23,102,39,25,23,Cerrado,65,5,16,21,18,30,6,9,1,22,52,25,33,23
2022/2023,2º TURNO,Pato Basquete,82,8,24,32,10,52,9,3,0,24,78,47,33,19,Fortaleza B. C.,87,11,17,28,20,35,9,6,0,20,85,32,29,29
2022/2023,2º TURNO,Bauru Basket,74,9,15,24,17,31,20,3,0,18,77,30,30,23,São Paulo,81,11,17,28,14,34,15,5,1,20,95,28,27,16
2022/2023,2º TURNO,Sesi Franca,95,12,20,32,19,37,21,6,3,18,115,36,31,22,Pinheiros,75,8,19,27,13,42,23,5,0,21,84,44,26,20
2022/2023,2º TURNO,Flamengo,79,12,14,26,15,35,24,7,4,19,98,27,30,16,123 Minas,78,8,21,29,12,35,14,10,2,22,82,44,23,16
2022/2023,2º TURNO,União Corinthians,78,10,19,29,10,40,19,5,3,20,93,35,35,11,Flamengo,77,12,14,26,13,43,17,6,1,17,89,32,34,15
2022/2023,2º TURNO,Sesi Franca,90,8,17,25,32,34,17,2,2,16,102,32,20,34,Bauru Basket,82,15,17,32,3,27,14,6,3,27,82,32,37,5
2022/2023,2º TURNO,São Paulo,79,7,22,29,14,28,12,10,4,17,79,35,29,21,UNIFACISA,99,12,23,35,17,41,14,5,1,19,113,34,31,18
2022/2023,2º TURNO,123 Minas,110,19,24,43,5,38,30,5,0,17,137,37,32,9,BRB/Brasília,79,7,24,31,10,31,21,10,1,14,87,50,18,15
2022/2023,2º TURNO,Fortaleza B. C.,75,13,12,25,12,30,12,7,2,22,69,29,27,22,Rio Claro,99,10,28,38,13,35,30,8,0,23,131,37,23,20
2022/2023,2º TURNO,União Corinthians,80,14,15,29,8,33,20,14,2,17,97,34,33,15,Oscar São José Basketball,68,6,21,27,8,44,19,0,1,16,75,42,18,14
2022/2023,2º TURNO,Caxias do Sul Basquete,71,5,19,24,18,30,10,7,2,22,66,44,20,20,Flamengo,82,8,21,29,16,47,15,5,3,18,93,35,30,20
2022/2023,2º TURNO,Corinthians,102,11,28,39,13,44,25,3,2,14,131,40,28,19,Pato Basquete,78,9,18,27,15,30,18,6,0,17,80,40,28,20
2022/2023,2º TURNO,123 Minas,99,12,26,38,11,43,34,9,1,16,138,45,26,15,Cerrado,70,11,16,27,5,37,14,7,2,11,62,36,33,15
2022/2023,2º TURNO,Caxias do Sul Basquete,79,9,20,29,12,35,11,5,1,18,76,38,21,18,Oscar São José Basketball,76,6,24,30,10,29,17,8,3,23,86,38,20,14
2022/2023,2º TURNO,Fortaleza B. C.,65,9,14,23,10,30,14,3,1,19,56,34,31,12,Sesi Franca,102,12,29,41,8,42,25,6,2,17,135,40,27,15
2022/2023,2º TURNO,UNIFACISA,84,9,21,30,15,40,15,4,1,17,94,37,26,20,Rio Claro,78,8,23,31,8,27,20,4,2,23,86,39,22,12
2022/2023,2º TURNO,Pinheiros,67,10,13,23,11,42,18,7,1,24,70,28,25,20,Paulistano,74,5,23,28,13,33,12,10,1,21,70,39,27,22
2022/2023,2º TURNO,Flamengo,66,5,22,27,7,37,16,6,3,14,89,31,20,9,Bauru Basket,54,12,7,19,4,25,17,7,0,15,56,27,28,6
2022/2023,2º TURNO,UNIFACISA,80,11,18,29,11,55,14,7,4,25,89,43,38,13,Sesi Franca,83,11,19,30,12,44,17,7,3,16,90,40,37,16
2022/2023,2º TURNO,União Corinthians,78,12,18,30,6,37,18,4,2,27,81,29,45,10,123 Minas,82,6,20,26,24,42,17,6,3,17,97,35,21,34
2022/2023,2º TURNO,Bauru Basket,80,9,19,28,15,35,14,12,1,18,95,33,27,18,Paulistano,70,10,15,25,10,37,13,9,0,20,73,38,23,14
2022/2023,2º TURNO,Caxias do Sul Basquete,80,14,15,29,8,41,19,6,6,23,102,34,33,10,123 Minas,63,4,16,20,19,39,13,6,1,14,67,34,25,23
2022/2023,2º TURNO,Sesi Franca,103,11,26,37,18,35,25,10,1,16,127,45,22,23,Corinthians,92,11,25,36,9,28,17,2,1,22,94,38,25,14
2022/2023,2º TURNO,Paulistano,85,9,25,34,8,39,25,7,2,19,106,47,20,17,UNIFACISA,68,10,15,25,8,36,16,4,2,21,70,35,26,14
2022/2023,2º TURNO,Rio Claro,77,4,24,28,17,28,16,11,0,23,69,51,24,22,Corinthians,97,9,25,34,20,44,19,5,2,21,121,34,21,24
2022/2023,2º TURNO,Pato Basquete,88,10,21,31,16,39,14,10,4,25,98,38,25,24,Caxias do Sul Basquete,80,9,15,24,23,39,18,6,1,20,82,32,34,28
2022/2023,2º TURNO,Paulistano,80,10,19,29,12,33,17,6,0,26,87,36,29,17,Fortaleza B. C.,78,10,14,24,20,42,13,3,0,22,82,33,24,26
2022/2023,2º TURNO,Oscar São José Basketball,94,11,23,34,15,28,29,9,1,21,118,34,29,20,Pinheiros,92,10,25,35,12,42,22,3,0,21,105,41,31,17
2022/2023,2º TURNO,BRB/Brasília,74,8,18,26,14,38,21,4,1,11,75,39,24,24,União Corinthians,96,17,20,37,5,44,18,12,2,17,120,35,39,8
2022/2023,2º TURNO,São Paulo,85,11,18,29,16,33,22,7,2,23,101,25,34,20,Fortaleza B. C.,70,6,18,24,16,43,8,8,3,20,70,33,33,23
2022/2023,2º TURNO,Oscar São José Basketball,66,7,17,24,11,30,14,11,2,19,66,37,33,15,Bauru Basket,93,14,19,33,13,44,21,4,2,15,120,27,30,19
2022/2023,2º TURNO,Cerrado,99,13,22,35,16,59,18,4,3,17,110,47,41,23,União Corinthians,107,18,13,31,27,43,19,8,7,18,125,36,40,30
2022/2023,2º TURNO,Rio Claro,100,10,25,35,20,26,20,6,2,23,115,34,21,28,Pato Basquete,93,10,22,32,19,35,13,7,1,26,96,36,32,25
2022/2023,2º TURNO,UNIFACISA,78,9,18,27,15,34,14,7,1,25,75,38,29,23,Flamengo,80,9,19,28,15,47,13,5,2,21,86,36,28,24
2022/2023,2º TURNO,BRB/Brasília,78,8,19,27,16,43,17,4,0,25,82,42,25,17,Caxias do Sul Basquete,88,13,15,28,19,33,16,4,1,19,86,31,26,32
2022/2023,2º TURNO,Sesi Franca,88,10,23,33,12,36,26,7,2,23,110,29,29,16,Pato Basquete,82,7,19,26,23,38,12,12,1,16,77,39,29,35
2022/2023,2º TURNO,Paulistano,81,9,20,29,14,37,12,3,1,18,83,46,21,19,Corinthians,82,13,18,31,7,44,16,5,2,20,95,44,28,11
2022/2023,2º TURNO,Fortaleza B. C.,64,6,17,23,12,37,9,4,0,18,51,44,28,16,Flamengo,99,17,16,33,16,48,28,5,1,15,131,25,44,19
2022/2023,2º TURNO,Cerrado,91,17,9,26,22,32,21,2,0,21,91,20,36,33,Caxias do Sul Basquete,98,9,24,33,23,35,19,7,1,23,114,44,20,30
2022/2023,2º TURNO,Oscar São José Basketball,89,13,21,34,8,27,23,2,2,16,101,35,34,8,123 Minas,96,10,28,38,10,39,21,3,2,13,118,47,23,11
2022/2023,2º TURNO,Pinheiros,79,6,22,28,17,37,21,7,1,18,85,41,25,28,São Paulo,89,13,17,30,16,40,19,6,2,22,105,30,33,20
2022/2023,2º TURNO,Sesi Franca,95,14,18,32,17,44,17,10,6,14,117,37,36,20,Rio Claro,73,11,18,29,4,35,21,3,2,21,72,40,26,10
2022/2023,2º TURNO,Flamengo,90,18,16,34,4,41,22,10,3,10,113,39,30,11,Corinthians,64,9,17,26,3,32,18,5,2,17,68,39,23,5
2022/2023,2º TURNO,UNIFACISA,79,13,12,25,16,31,17,5,1,20,78,32,36,22,Oscar São José Basketball,88,11,21,32,13,37,22,3,4,20,116,30,23,18
2022/2023,2º TURNO,Pinheiros,94,10,23,33,18,52,23,10,2,26,120,50,27,23,BRB/Brasília,83,12,11,23,25,37,16,6,2,20,82,24,36,36
2022/2023,2º TURNO,Bauru Basket,97,8,30,38,13,44,33,7,6,14,140,49,25,17,Cerrado,73,11,13,24,14,27,13,5,2,11,68,29,30,18
2022/2023,2º TURNO,Corinthians,73,7,16,23,20,36,18,8,2,20,77,38,27,24,São Paulo,85,10,21,31,13,40,15,5,2,21,89,37,28,21
2022/2023,2º TURNO,Pato Basquete,75,5,25,30,10,33,9,9,1,21,73,46,21,12,Paulistano,87,8,22,30,19,39,10,7,0,16,92,36,27,23
2022/2023,2º TURNO,União Corinthians,72,9,15,24,15,47,16,9,4,22,79,35,40,24,Caxias do Sul Basquete,74,6,19,25,18,43,11,5,2,23,82,42,17,25
2022/2023,2º TURNO,123 Minas,74,11,12,23,17,42,24,5,2,20,90,31,30,23,Pinheiros,67,12,8,20,15,44,21,7,1,23,74,29,33,23
2022/2023,2º TURNO,Bauru Basket,72,8,17,25,14,37,18,7,2,17,86,37,23,15,BRB/Brasília,70,9,18,27,7,40,17,10,1,19,80,37,28,11
2022/2023,2º TURNO,Fortaleza B. C.,71,10,17,27,7,34,16,5,1,20,67,37,31,13,Oscar São José Basketball,90,10,23,33,14,43,22,6,4,16,117,39,24,22
2022/2023,2º TURNO,Pinheiros,95,11,27,38,8,48,23,11,1,14,119,49,30,12,Cerrado,65,9,17,26,4,30,14,6,3,10,58,27,35,8
2022/2023,2º TURNO,Cerrado,73,8,13,21,23,38,15,4,2,13,75,31,25,24,UNIFACISA,83,8,25,33,9,38,22,13,4,20,104,44,29,11
2022/2023,2º TURNO,Pato Basquete,69,6,22,28,7,42,13,8,2,18,68,44,30,12,São Paulo,84,12,17,29,14,37,20,8,3,18,99,34,29,18
2022/2023,2º TURNO,Paulistano,76,3,24,27,19,49,12,4,2,21,85,47,25,23,Rio Claro,66,7,17,24,11,37,15,6,1,24,69,39,22,18
2022/2023,2º TURNO,Oscar São José Basketball,88,10,22,32,14,36,20,14,1,22,102,49,26,17,Corinthians,81,7,22,29,16,32,20,6,6,19,92,34,19,23
2022/2023,2º TURNO,Cerrado,88,15,19,34,5,48,18,6,3,15,107,36,35,12,Fortaleza B. C.,68,6,22,28,6,47,12,9,3,17,74,46,30,14
2022/2023,2º TURNO,Flamengo,70,13,9,22,13,41,17,3,3,16,77,18,41,20,Pinheiros,66,6,20,26,8,38,16,7,2,20,77,39,24,12
2022/2023,2º TURNO,São Paulo,92,13,21,34,11,30,27,11,1,18,119,33,27,14,Rio Claro,76,8,22,30,8,31,22,5,0,19,80,42,22,10
2022/2023,2º TURNO,BRB/Brasília,88,15,16,31,11,29,15,6,1,15,87,38,34,14,UNIFACISA,101,14,25,39,9,47,23,4,4,19,132,38,33,12
2022/2023,2º TURNO,123 Minas,63,3,19,22,16,41,14,6,2,19,74,39,17,21,Bauru Basket,58,7,16,23,5,32,19,8,1,21,61,33,26,13
2022/2023,2º TURNO,Oscar São José Basketball,96,11,28,39,7,34,26,12,4,14,128,39,22,11,Pato Basquete,69,8,20,28,5,33,13,13,1,11,62,46,23,13
2022/2023,2º TURNO,BRB/Brasília,80,11,15,26,17,31,12,5,3,19,76,25,38,20,Fortaleza B. C.,82,10,18,28,16,32,17,7,3,19,92,33,21,21
2022/2023,1º TURNO,BRB/Brasília,88,11,22,33,11,32,23,3,4,22,92,50,28,17,Corinthians,101,9,29,38,16,49,18,2,1,21,121,49,24,21
2022/2023,2º TURNO,Paulistano,64,7,15,22,13,43,11,8,5,21,62,49,26,18,Sesi Franca,70,5,16,21,23,46,9,5,4,17,77,38,20,26
2022/2023,2º TURNO,Flamengo,89,11,27,38,2,41,27,8,2,14,119,39,37,4,Pato Basquete,75,8,24,32,3,31,16,5,0,16,80,44,18,7
2022/2023,2º TURNO,São Paulo,102,14,25,39,10,31,24,9,0,31,109,42,39,17,Sesi Franca,105,11,21,32,30,50,15,6,3,23,122,36,28,37
2022/2023,1º TURNO,Caxias do Sul Basquete,61,3,16,19,20,29,5,6,3,17,61,33,15,23,Bauru Basket,74,9,19,28,9,38,20,6,3,18,91,30,31,17
2022/2023,1º TURNO,União Corinthians,70,8,15,23,16,46,15,9,1,23,71,35,32,24,Pinheiros,79,6,24,30,13,47,18,9,2,21,89,45,26,22
2022/2023,1º TURNO,123 Minas,88,16,17,33,6,35,21,5,2,19,98,32,30,14,UNIFACISA,87,11,22,33,10,45,13,9,1,17,91,44,36,13
2022/2023,1º TURNO,Cerrado,109,18,19,37,17,31,22,6,3,15,119,33,38,23,Pato Basquete,110,14,27,41,14,32,20,6,1,20,121,47,22,19
2022/2023,1º TURNO,Caxias do Sul Basquete,69,7,16,23,16,45,8,9,2,20,64,41,28,22,Pinheiros,77,10,14,24,19,45,10,7,4,25,79,37,27,23
2022/2023,1º TURNO,Fortaleza B. C.,88,11,21,32,13,53,17,6,1,20,98,44,29,27,UNIFACISA,79,9,20,29,12,36,11,7,2,26,81,40,29,15
2022/2023,1º TURNO,União Corinthians,67,8,13,21,17,34,14,6,1,19,68,27,29,19,Bauru Basket,79,12,14,26,15,36,19,9,1,21,93,29,30,19
2022/2023,1º TURNO,Cerrado,89,12,22,34,9,44,18,9,2,16,100,41,36,14,Corinthians,79,9,20,29,12,41,15,6,5,20,87,39,30,14
2022/2023,1º TURNO,BRB/Brasília,79,6,26,32,9,42,21,8,2,19,99,35,25,14,Pato Basquete,66,4,19,23,16,26,10,7,1,17,55,34,26,18
2022/2023,1º TURNO,Flamengo,110,22,20,42,4,44,33,9,2,10,161,32,37,6,Rio Claro,57,9,13,22,4,23,15,5,4,12,52,32,26,7
2022/2023,1º TURNO,Oscar São José Basketball,98,12,22,34,18,40,23,9,3,19,131,36,22,23,Rio Claro,63,5,20,25,8,28,14,3,4,19,55,46,20,12
2022/2023,1º TURNO,Flamengo,59,10,10,20,9,41,10,5,3,12,57,25,42,13,Sesi Franca,69,10,16,26,7,43,14,6,0,19,82,38,26,8
2022/2023,1º TURNO,São Paulo,100,19,15,34,13,26,26,11,0,21,122,30,34,17,123 Minas,83,9,22,31,12,41,21,4,1,18,96,38,29,17
2022/2023,1º TURNO,Oscar São José Basketball,73,8,18,26,13,27,15,9,3,22,80,40,22,16,Sesi Franca,83,12,14,26,19,36,18,3,3,19,100,24,27,21
2022/2023,1º TURNO,Pinheiros,68,5,20,25,13,41,9,8,4,17,71,43,18,22,Bauru Basket,65,11,8,19,16,39,15,9,4,21,72,25,34,20
2022/2023,1º TURNO,São Paulo,96,11,25,36,13,44,19,9,3,18,124,41,27,17,Oscar São José Basketball,68,7,19,26,9,37,17,6,3,18,66,43,26,18
2022/2023,1º TURNO,Rio Claro,93,7,31,38,10,25,23,16,3,21,116,52,16,17,Cerrado,90,13,21,34,9,37,10,4,1,14,88,30,32,14
2022/2023,1º TURNO,Paulistano,84,14,19,33,4,37,12,6,2,20,87,47,26,6,Flamengo,90,14,18,32,12,36,18,8,0,16,105,28,34,16
2022/2023,1º TURNO,Fortaleza B. C.,84,9,23,32,11,46,17,7,2,24,97,43,22,16,Caxias do Sul Basquete,73,4,21,25,19,29,10,12,2,21,67,39,21,27
2022/2023,1º TURNO,Corinthians,77,4,19,23,27,38,14,5,3,13,88,34,16,31,Bauru Basket,72,7,21,28,9,26,15,8,0,24,75,38,27,9
2022/2023,1º TURNO,UNIFACISA,71,7,16,23,18,44,9,8,1,17,74,29,30,21,União Corinthians,66,13,10,23,7,30,18,10,1,21,72,26,31,11
2022/2023,1º TURNO,Pato Basquete,74,11,17,28,7,32,14,4,1,18,77,31,31,7,123 Minas,88,8,30,38,4,35,22,7,1,11,105,42,26,10
2022/2023,1º TURNO,Rio Claro,85,10,22,32,11,32,21,5,3,26,96,40,27,16,BRB/Brasília,87,7,24,31,18,43,19,6,2,21,97,45,20,27
2022/2023,1º TURNO,São Paulo,66,6,21,27,6,34,11,5,0,20,59,45,28,9,Flamengo,91,15,15,30,16,44,22,5,2,14,119,26,36,20
2022/2023,1º TURNO,Paulistano,72,4,26,30,8,43,16,10,5,15,90,49,23,10,Oscar São José Basketball,62,4,24,28,2,45,14,6,3,16,64,55,18,8
2022/2023,1º TURNO,Fortaleza B. C.,83,4,29,33,13,40,16,7,3,30,87,46,22,23,União Corinthians,94,9,23,32,21,36,18,11,2,24,103,36,26,35
2022/2023,1º TURNO,Corinthians,65,8,15,23,11,30,13,4,1,19,52,38,34,12,123 Minas,94,10,26,36,12,47,16,6,2,15,118,44,23,13
2022/2023,1º TURNO,UNIFACISA,63,8,14,22,11,39,15,6,1,14,69,35,26,14,Caxias do Sul Basquete,56,5,17,22,7,34,7,7,2,17,51,38,21,9
2022/2023,1º TURNO,Pato Basquete,85,14,18,32,7,23,18,4,0,25,82,29,27,13,Bauru Basket,96,13,16,29,25,23,15,10,2,18,110,23,26,27
2022/2023,1º TURNO,BRB/Brasília,89,10,17,27,25,40,17,5,3,22,94,31,27,36,São Paulo,96,19,12,31,15,35,20,12,2,31,107,27,40,24
2022/2023,1º TURNO,Bauru Basket,82,17,13,30,5,35,19,13,0,21,100,29,39,8,Fortaleza B. C.,50,6,8,14,16,39,9,3,2,17,43,30,15,22
2022/2023,1º TURNO,BRB/Brasília,72,8,20,28,8,44,7,2,1,17,69,41,26,15,Paulistano,82,14,18,32,4,45,17,9,2,23,100,46,33,5
2022/2023,1º TURNO,Cerrado,101,14,20,34,19,39,16,10,2,18,109,32,41,26,São Paulo,94,11,22,33,17,35,12,5,2,24,95,37,29,20
2022/2023,1º TURNO,Bauru Basket,68,12,11,23,10,31,15,5,0,19,67,25,36,13,UNIFACISA,76,11,15,26,13,37,13,7,1,16,88,28,27,17
2022/2023,1º TURNO,Pinheiros,100,10,28,38,14,41,25,5,2,18,125,38,35,20,UNIFACISA,86,15,12,27,17,34,17,1,0,20,90,29,35,19
2022/2023,1º TURNO,Pinheiros,95,12,24,36,11,38,25,14,6,20,124,43,28,16,Fortaleza B. C.,73,11,14,25,12,36,19,6,3,17,72,43,20,19
2022/2023,1º TURNO,Cerrado,80,14,16,30,6,41,13,5,2,20,79,32,35,11,Paulistano,93,7,27,34,18,34,19,8,1,16,106,49,21,21
2022/2023,1º TURNO,UNIFACISA,73,9,14,23,18,33,14,7,0,23,67,29,33,27,São Paulo,82,10,17,27,18,38,17,5,2,23,99,28,26,20
2022/2023,1º TURNO,União Corinthians,86,8,23,31,16,40,17,8,3,21,88,47,39,17,Corinthians,91,11,20,31,18,47,18,5,2,15,105,31,31,26
2022/2023,1º TURNO,Pinheiros,98,7,25,32,27,39,19,8,1,22,109,45,22,38,Oscar São José Basketball,90,12,16,28,22,35,24,3,1,26,101,36,25,27
2022/2023,1º TURNO,Fortaleza B. C.,81,5,23,28,20,39,13,4,2,16,77,44,22,29,São Paulo,111,15,27,42,12,37,27,8,2,21,141,38,37,17
2022/2023,1º TURNO,Caxias do Sul Basquete,62,4,21,25,8,39,11,9,1,19,60,46,26,13,Corinthians,72,9,18,27,9,47,13,6,1,15,83,29,33,11
2022/2023,1º TURNO,União Corinthians,85,12,14,26,21,38,24,11,2,23,100,26,37,28,Pato Basquete,93,12,22,34,13,36,19,7,1,23,102,38,26,22
